Source,SourceLong,Target,Dramatist,Play_Title,Play_Title_Short,Act,Scene,Line_Number,Speaker,Location,Line,Physical_Location,Location_Score,In_London_Or_London,Mentioned_as_Location,Purpose,Location1,Location_General,Location_Specific,Details
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.2.24,5010,Ben Jonson,The Alchemist,Alchemist,3,2,24,Subtle,East Indies,From th'Indies to serve you with all their fleet,TRUE,"(5) World, outside Europe",FALSE,TRUE,Location,East Indies,,,"From 'Hollanders' above, the Dutch helped Anabaptists. Their navy helped protect their interest in the East Indies trade."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.2.48,4017,Ben Jonson,The Alchemist,Alchemist,3,2,48,Subtle,Spain,The King of France out of his realms or Spain,TRUE,(4) Europe,FALSE,TRUE,Location,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.2.48,4005,Ben Jonson,The Alchemist,Alchemist,3,2,48,Subtle,France,The King of France out of his realms or Spain,TRUE,(4) Europe,FALSE,FALSE,Descriptor,France,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.2.49,5011,Ben Jonson,The Alchemist,Alchemist,3,2,49,Subtle,East or West Indies,Out of his Indies: what can you not do,TRUE,"(5) World, outside Europe",FALSE,TRUE,Location,East or West Indies,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.2.145,4013,Ben Jonson,The Alchemist,Alchemist,3,2,145,Subtle,Netherlands,As any are in Holland.,TRUE,(4) Europe,FALSE,TRUE,Location,Netherlands,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.3.2,1294,Ben Jonson,The Alchemist,Alchemist,3,3,2,Face,Temple Church,I ha' walked the round,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Temple Church,Face's 'the round' puns on the rotunda at Temple Church.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.3.10,4017,Ben Jonson,The Alchemist,Alchemist,3,3,10,Face,Spain,"A noble count, a don of Spain (my dear",TRUE,(4) Europe,FALSE,FALSE,Descriptor,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.3.18,3111,Ben Jonson,The Alchemist,Alchemist,3,3,18,Face,Cinque Port,"Upon our Doll, our castle, our Cinque Port",TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Kent,Cinque port,"Town on the south-east of England, vital to defence against attack from the contnent. Five in total, in Sandwich, Dover, Hythe, New Romney and Hastings."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.3.19,3113,Ben Jonson,The Alchemist,Alchemist,3,3,19,Face,Dover,"Our Dover pier, our what thou wilt. Where is she?",TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Dover,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.3.77,6004,Ben Jonson,The Alchemist,Alchemist,3,3,77,Face,Fairyland,"God's will, then, Queen of Fairy, On with your tire.",FALSE,(6) Not on Earth,FALSE,FALSE,Descriptor,Fairyland,,,Mythology can sometimes refer to this place as simply 'Faerie' or the like.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.4.25,3002,Ben Jonson,The Alchemist,Alchemist,3,4,25,Kastril,Country Spaces,And practice i'the country.,TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Country spaces,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.4.103,4004,Ben Jonson,The Alchemist,Alchemist,3,4,103,Face,England,"He's sent to, far and near, all over England",TRUE,(4) Europe,FALSE,TRUE,Location,England,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.4.119,1281,Ben Jonson,The Alchemist,Alchemist,3,4,119,Drugger,Seacoal Lane,"Yes, faith, she dwells in Seacoal Lane, did cure me",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Seacoal Lane,"Now Old Seacoal Lane, from Faringdon Street to Fleet Lane."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.1.56,4001,Ben Jonson,The Alchemist,Alchemist,4,1,56,Mammon,Austria,One o'the Austriac princes.,TRUE,(4) Europe,FALSE,FALSE,Nationality,Austria,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.1.57,4009,Ben Jonson,The Alchemist,Alchemist,4,1,57,Face,Ireland,Her father was an Irish costermonger,TRUE,(4) Europe,FALSE,FALSE,Nationality,Ireland,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.1.60,4109,Ben Jonson,The Alchemist,Alchemist,4,1,60,Mammon,Florence,Of Florence boast.,TRUE,(4) Europe,FALSE,TRUE,Location,Italy,Florence,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.1.131,2104,Ben Jonson,The Alchemist,Alchemist,4,1,131,Mammon,Blackfriars,This nook here of the Friars is no climate,TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,Blackfriars,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.1.134,3006,Ben Jonson,The Alchemist,Alchemist,4,1,134,Mammon,Essex,Of some odd hundred in Essex. But come forth,TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Essex,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.3.28,4108,Ben Jonson,The Alchemist,Alchemist,4,3,28,Face,Flanders,Perhaps some Flemming or some Hollander got him,TRUE,(4) Europe,FALSE,FALSE,Nationality,Belgium,Flanders,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.3.28,4013,Ben Jonson,The Alchemist,Alchemist,4,3,28,Face,Netherlands,Perhaps some Flemming or some Hollander got him,TRUE,(4) Europe,FALSE,FALSE,Nationality,Netherlands,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.3.28,4017,Ben Jonson,The Alchemist,Alchemist,4,3,28,Subtle,Spain,Slud he does look too fat to be a Spaniard.,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.3.31,4114,Ben Jonson,The Alchemist,Alchemist,4,3,31,Subtle,Madrid,"Your scurvy, yellow, Madrid face is welcome.",TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,Madrid,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.3.52,6005,Ben Jonson,The Alchemist,Alchemist,4,3,52,Subtle,Heaven,"Fore heaven, I know not. He must stay, that's all.",FALSE,(6) Not on Earth,FALSE,FALSE,Oath,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.3,4017,Ben Jonson,The Alchemist,Alchemist,4,4,3,Face,Spain,"A Spanish countess, sir.",TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.4,4004,Ben Jonson,The Alchemist,Alchemist,4,4,4,Pliant,England,Why? Is that better than an English countess?,TRUE,(4) Europe,FALSE,FALSE,Nationality,England,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.7,1249,Ben Jonson,The Alchemist,Alchemist,4,4,7,Face,Inns of Court,Ask from your courtier to your Inns of Court man,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Inns of Court,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.9,4017,Ben Jonson,The Alchemist,Alchemist,4,4,9,Face,Spain,Your Spanish jennet is the best horse. Your Spanish,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.9,4017,Ben Jonson,The Alchemist,Alchemist,4,4,9,Face,Spain,Your Spanish jennet is the best horse. Your Spanish,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.10,4017,Ben Jonson,The Alchemist,Alchemist,4,4,10,Face,Spain,Stoop is the best garb. Your Spanish beard,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.11,4017,Ben Jonson,The Alchemist,Alchemist,4,4,11,Face,Spain,Is the best cut. Your Spanish ruffs are the best,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.12,4017,Ben Jonson,The Alchemist,Alchemist,4,4,12,Face,Spain,Wear. Your Spanish pavan is the best dance,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.13,4017,Ben Jonson,The Alchemist,Alchemist,4,4,13,Face,Spain,Your Spanish titillation is a glove,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.14,4017,Ben Jonson,The Alchemist,Alchemist,4,4,14,Face,Spain,The best perfume. And for your Spanish pike,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.15,4017,Ben Jonson,The Alchemist,Alchemist,4,4,15,Face,Spain,"And Spanish blade, let your poor Captain speak.",TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.22,4017,Ben Jonson,The Alchemist,Alchemist,4,4,22,Face,Spain,A countess. Do not delay 'em sir. A Spanish countess.,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.28,4017,Ben Jonson,The Alchemist,Alchemist,4,4,28,Pliant,Spain,"Truly, I shall never brook a Spaniard.",TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.47,2115,Ben Jonson,The Alchemist,Alchemist,4,4,47,Subtle,London,To hurry her through London to th'Exchange,TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.47,1300,Ben Jonson,The Alchemist,Alchemist,4,4,47,Subtle,The New Exchange,To hurry her through London to th'Exchange,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,The New Exchange,"In the Strand, opened in 1609. This, and the two locations below, are echoed from an earlier play, 'Epicene' where Jonson refers to Bedlam, the china houses and the Exchange in one line."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.48,1206,Ben Jonson,The Alchemist,Alchemist,4,4,48,Subtle,Bethlehem Royal Hospital,"Bedlam, the China-houses -",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Bethlehem Royal Hospital,Colloquially called 'Bedlam.'
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.48,2122,Ben Jonson,The Alchemist,Alchemist,4,4,48,Subtle,Stores selling Eastern goods,"Bedlam, the China-houses -",TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,Stores,"Abstract but, by context, Subtle is referring to these places in London."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.67,4017,Ben Jonson,The Alchemist,Alchemist,4,4,67,Subtle,Spain,It is the Spanish fashion for the women,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.4.85,4017,Ben Jonson,The Alchemist,Alchemist,4,4,85,Kastril,Spain,I love a Spanish boy with all my heart.,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.5.50,6005,Ben Jonson,The Alchemist,Alchemist,4,5,50,Subtle,Heaven,"The blessing was prepared, would so tempt heaven,",FALSE,(6) Not on Earth,FALSE,TRUE,Location,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.5.86,1206,Ben Jonson,The Alchemist,Alchemist,4,5,86,Face,Bethlehem Royal Hospital,A hundred pound to the box at Bedlam,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Bethlehem Royal Hospital,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.6.23,4013,Ben Jonson,The Alchemist,Alchemist,4,6,23,Subtle,Netherlands,"It hath a heavy cast, 'tis upsee Dutch",TRUE,(4) Europe,FALSE,FALSE,Language,Netherlands,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.6.31,4017,Ben Jonson,The Alchemist,Alchemist,4,6,31,Surly,Spain,I am the Spanish Don that should be cozened,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.18,4119,Ben Jonson,The Alchemist,Alchemist,4,7,18,Face,Spanish court,The Spanish Court will come here. Bear up,TRUE,(4) Europe,FALSE,TRUE,Location,Spain,Spanish court,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.48,4017,Ben Jonson,The Alchemist,Alchemist,4,7,48,Subtle,Spain,Against his Spanish slops -,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.57,4017,Ben Jonson,The Alchemist,Alchemist,4,7,57,Ananias,Spain,"Depart, proud Spanish fiend!",TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.65,4017,Ben Jonson,The Alchemist,Alchemist,4,7,65,Face,Spain,"In a Spanish suit and ha' carried her so, and he",TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.68,4017,Ben Jonson,The Alchemist,Alchemist,4,7,68,Face,Spain,A Spanish suit. Has thou no credit with the players?,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.79,1262,Ben Jonson,The Alchemist,Alchemist,4,7,79,Subtle,Lovewit's house,But here I cannot do it: if the house,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Lovewit's house,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.81,1305,Ben Jonson,The Alchemist,Alchemist,4,7,81,Subtle,Tower of London,And we be locked up in the Tower for ever,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Tower of London,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.91,4017,Ben Jonson,The Alchemist,Alchemist,4,7,91,Subtle,Spain,A Spanish minister came here to spy,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.99,4017,Ben Jonson,The Alchemist,Alchemist,4,7,99,Face,Spain,He is gone to borrow me a Spanish habit.,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.107,4017,Ben Jonson,The Alchemist,Alchemist,4,7,107,Face,Spain,The Spanish Count will come?,TRUE,(4) Europe,FALSE,FALSE,Nationality,Spain,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.116,2102,Ben Jonson,The Alchemist,Alchemist,4,7,116,Subtle,Areas of London outside the walls,While there died one a week within the liberties.,TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,Areas of London outside the walls,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.118,2102,Ben Jonson,The Alchemist,Alchemist,4,7,118,Subtle,Areas of London outside the walls,"I thought the liberties. What shall we do now, Face?",TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,Areas of London outside the walls,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.4.7.125,3129,Ben Jonson,The Alchemist,Alchemist,4,7,125,Face,Ratcliffe,At night I'll ship you both away  to Ratcliffe,TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Ratcliffe,,Small village a mile down the Thames from London on the North Bank
Ben Jonson.Alchemist,Ben Jonson.Alchemist.5.1.6,2116,Ben Jonson,The Alchemist,Alchemist,5,1,6,Fifth Neighbour,Pimlico,Another Pimlico!,TRUE,(2) General London Location,FALSE,TRUE,Location,England,Pimlico,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.5.2.4,1262,Ben Jonson,The Alchemist,Alchemist,5,2,4,Face,Lovewit's house,"The house, sir, has been visited.",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Lovewit's house,
